name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Gap angle,cos(gap angle),UAV Speed,UAV Payload,Final UAV Speed
"Birmingham, England, United Kingdom",6/1/2022,8.5,8,6.7,88.53,0,0,,0,0,7.9,5.4,270,1014.4,28.1,19.7,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",48,-0.263792233,21.07208881,11.51914106,17.47297414
"Birmingham, England, United Kingdom",6/1/2022,6.8,6.8,6.3,96.41,0,0,,0,0,5.1,3.2,286,1015,20.5,16.6,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",28,-0.4783516411,29.84945333,8.51726616,25.97244716
"Birmingham, England, United Kingdom",6/1/2022,6.2,6.2,5.8,97.67,0,0,,0,0,6.2,4.3,195,1015.1,4.4,12.1,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",351,-0.08665404863,27.98752913,5.127846965,26.51469683
"Birmingham, England, United Kingdom",6/1/2022,5.5,4.6,5.3,98.46,0,0,,0,0,8.9,5.3,192,1015,28.7,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",48,-0.263792233,21.76771368,6.407741461,18.81288176
"Birmingham, England, United Kingdom",6/1/2022,6,6,5.8,98.6,0,0,,0,0,7.9,4.3,174,1014.4,92.3,13.1,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",80,-0.9969063678,22.79983081,2.095580241,16.09181825
"Birmingham, England, United Kingdom",6/1/2022,7.1,7.1,7,98.95,0.02,100,rain,0,0,5.8,3.7,198,1015,56.4,13.4,7,0,0,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",147,-0.9915208992,23.56747945,7.313501044,17.21430019
"Birmingham, England, United Kingdom",6/1/2022,8.4,7.3,8.2,98.81,0.02,100,rain,0,0,6,7,233,1015.1,79.9,13.3,23,0.1,0,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",126,0.9937681166,29.44003576,6.554869483,36.70193631
"Birmingham, England, United Kingdom",6/1/2022,9.4,8.9,8.8,96.14,0.02,100,rain,0,0,6.1,5.7,252,1015.2,76.3,12.2,104,0.4,1,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",179,-0.2136553586,22.04852639,13.30712385,18.52669145
"Birmingham, England, United Kingdom",6/1/2022,10.9,10.9,9,88.14,0.02,100,rain,0,0,12.8,9.3,291,1015.3,79.8,18.2,169,0.6,2,10,"Rain, Partially cloudy",rain,"03529099999,EGBB,03647099999,03535099999,03534099999,AU757,03544099999",53,-0.3212171779,26.47155873,4.851466902,21.53026684
"Birmingham, England, United Kingdom",6/1/2022,11,11,8.8,86.8,0.02,100,rain,0,0,14.6,9.2,324,1016,91.1,23.2,186,0.7,2,10,"Rain, Overcast",rain,"03529099999,03414099999,EGBB,03647099999,03535099999,AU757,03544099999",344,0.8229817705,24.87834715,4.546099376,34.90395321
"Birmingham, England, United Kingdom",6/1/2022,12.5,12.5,9,79.28,0.03,100,rain,0,0,8.6,8.8,343,1016.2,72.2,15.8,132,0.5,1,3,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",207,-0.7556882917,24.220462,13.32755173,13.68318501
"Birmingham, England, United Kingdom",6/1/2022,12.7,12.7,8,73.1,0,0,,0,0,6,4.9,344,1016.9,91,19,334,1.2,3,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",78,-0.1546293588,20.09935997,14.44521835,17.15836052
"Birmingham, England, United Kingdom",6/1/2022,13.9,13.9,7.8,66.49,0,0,,0,0,9.5,6.2,324,1017,54.7,16.6,997,3.6,10,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",170,0.22359883,20.52672933,6.392597256,21.60541039
"Birmingham, England, United Kingdom",6/1/2022,15,15,7.9,62.76,0.12,100,rain,0,0,12.4,8.7,261,1017.1,45.2,15.7,756,2.7,8,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",81,-0.6779755735,22.78438445,11.01076388,12.96884985
"Birmingham, England, United Kingdom",6/1/2022,15,15,7.1,59.02,0,0,,0,0,10,5.5,318,1017.2,63.9,16.8,330,1.2,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",231,-0.9791053284,26.31983801,11.56283073,16.29165028
"Birmingham, England, United Kingdom",6/1/2022,16,16,8,59.15,0,0,,0,0,13.5,5.3,349,1017.3,61.4,17.5,367,1.3,4,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",287,0.7018739666,20.63742672,6.504512647,25.99237183
"Birmingham, England, United Kingdom",6/1/2022,16.8,16.8,6.3,49.83,0,0,rain,0,0,14.5,9.9,321,1017.9,58.7,18.2,304,1.1,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",356,-0.4857344713,25.1289228,6.72990774,17.3121818
"Birmingham, England, United Kingdom",6/1/2022,16.8,16.8,5.4,46.94,0,0,,0,0,15.4,9.4,15,1018,60.5,19.3,227,0.8,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",247,-0.6841456315,27.46529989,12.48698267,15.93484974
"Birmingham, England, United Kingdom",6/1/2022,15.1,15.1,8.1,62.98,0,0,,0,0,11.5,9.9,28,1018.1,61.4,17.2,214,0.8,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",76,0.9732486875,28.05469812,8.904071368,39.01290094
"Birmingham, England, United Kingdom",6/1/2022,15.7,15.7,8.1,60.73,0,0,,0,0,8.8,6.2,356,1018.1,25.3,16.4,70,0.3,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",191,-0.2417042386,29.42479788,11.41120274,25.11983712
