iter	RMSE
0	14.84204951
1	14.23104475
2	13.70949803
3	13.2124833
4	12.6732455
5	12.17357924
6	11.71152666
7	11.31588828
8	10.8714296
9	10.48830931
10	10.12250888
11	9.769713031
12	9.46799651
13	9.161753264
14	8.808770646
15	8.497448058
16	8.180219662
17	7.889878552
18	7.604493961
19	7.342999059
20	7.113196114
21	6.869482997
22	6.650226104
23	6.471127022
24	6.241080469
25	6.028766768
26	5.867137834
27	5.667486177
28	5.510123365
29	5.357462831
30	5.188347072
31	5.044240259
32	4.884560578
33	4.739587773
34	4.590623356
35	4.457347422
36	4.344753973
37	4.204333684
38	4.080341755
39	3.989406738
40	3.878670967
41	3.795570615
42	3.708954415
43	3.603596532
44	3.513390255
45	3.430548106
46	3.348137842
47	3.270024017
48	3.184406185
49	3.108706581
50	3.039518956
51	2.967679771
52	2.915423517
53	2.848879095
54	2.786347295
55	2.730131312
56	2.671268093
57	2.627360407
58	2.573909303
59	2.520947887
60	2.47307151
61	2.421714766
62	2.37192673
63	2.333649677
64	2.29359036
65	2.243287235
66	2.195627281
67	2.161985331
68	2.127561372
69	2.092459313
70	2.048272673
71	2.015214646
72	1.981372133
73	1.950020638
74	1.921043286
75	1.889668126
76	1.870131441
77	1.841392903
78	1.813820543
79	1.7844086
80	1.759059599
81	1.733968952
82	1.708943734
83	1.685700404
84	1.660280877
85	1.637172289
86	1.61947309
87	1.602798791
88	1.58547275
89	1.564757501
90	1.543247577
91	1.527442366
92	1.508872252
93	1.487506664
94	1.468436114
95	1.454370658
96	1.436299407
97	1.418968092
98	1.404779001
99	1.386153434
100	1.372866269
101	1.35986905
102	1.344713431
103	1.336455389
104	1.325032152
105	1.313998202
106	1.301039319
107	1.292215989
108	1.278584261
109	1.271535241
110	1.258031414
111	1.249911067
112	1.240297085
113	1.227571018
114	1.220638966
115	1.206876809
116	1.195755462
117	1.186295154
118	1.171011653
119	1.164539515
120	1.148616662
121	1.136689359
122	1.126010967
123	1.120260462
124	1.111811091
125	1.099967576
126	1.092687284
127	1.086903689
128	1.080543976
129	1.069464358
130	1.0620005
131	1.051210127
132	1.043058863
133	1.034821342
134	1.027744942
135	1.023558388
136	1.015840965
137	1.00627633
138	1.001073813
139	0.9919746494
140	0.980185811
141	0.9719879615
142	0.9643463245
143	0.9569344276
144	0.9514558815
145	0.9425046766
146	0.9361987315
147	0.9284622638
148	0.9217019017
149	0.9124567681
150	0.9034028128
151	0.8987035803
152	0.8905233862
153	0.8834536728
154	0.8781154533
155	0.8730938991
156	0.8678335222
157	0.8612793917
158	0.8555497985
159	0.8505713349
160	0.8466980482
161	0.8419620476
162	0.8388047581
163	0.832487107
164	0.8274420711
165	0.8214590092
166	0.8174983002
167	0.8111874638
168	0.8069165677
169	0.8021374102
170	0.7975656115
171	0.7918759724
172	0.785951972
173	0.7801980154
174	0.7756045156
175	0.7748472173
176	0.7699480774
177	0.7641855039
178	0.7635699534
179	0.7588631465
180	0.7556089801
181	0.7504799797
182	0.7474200162
183	0.7434428372
184	0.739584276
185	0.7388235191
186	0.7344334763
187	0.7307022578
188	0.7301754934
189	0.7262850098
190	0.7229090932
191	0.7220400745
192	0.7212981226
193	0.7207989719
194	0.7163137068
195	0.7156383831
196	0.7114742767
197	0.7084161798
198	0.7053351309
199	0.6994757109
200	0.6971406188
201	0.6939031221
202	0.6912348874
203	0.6905675429
204	0.6870988884
205	0.6837053305
206	0.6797683981
207	0.6777735315
208	0.6733119781
209	0.6727404121
210	0.6675750229
211	0.6627310932
212	0.6597594917
213	0.6559597285
214	0.6536921739
215	0.6513707432
216	0.6484894203
217	0.6469098159
218	0.6442211604
219	0.6437734042
220	0.6432664275
221	0.6409138513
222	0.640112896
223	0.6357561559
224	0.6336327655
225	0.6308861808
226	0.6282123797
227	0.6243659604
228	0.6210613308
229	0.6173378773
230	0.615562519
231	0.6127442484
232	0.6123272555
233	0.6089859575
234	0.6057699156
235	0.6037025617
236	0.601206826
237	0.599434314
238	0.5976277302
239	0.5952072927
240	0.5929071745
241	0.5924933532
242	0.5903708651
243	0.5883968373
244	0.5855735966
