iter	Passed	Remaining
0	1	652
1	1	442
2	2	358
3	2	310
4	2	281
5	3	256
6	3	242
7	3	233
8	4	228
9	4	223
10	4	219
11	5	212
12	5	208
13	5	203
14	6	203
15	6	204
16	7	202
17	7	198
18	7	196
19	8	193
20	8	190
21	8	187
22	8	183
23	9	181
24	9	179
25	9	177
26	10	175
27	10	174
28	10	172
29	10	170
30	11	168
31	11	167
32	11	166
33	12	165
34	12	165
35	12	163
36	13	163
37	13	162
38	13	161
39	13	159
40	14	158
41	14	157
42	14	156
43	15	155
44	15	154
45	15	153
46	15	152
47	16	152
48	16	151
49	16	150
50	17	149
51	17	148
52	17	147
53	17	147
54	18	146
55	18	145
56	18	144
57	18	143
58	19	142
59	19	142
60	19	141
61	20	141
62	20	141
63	20	141
64	21	141
65	21	141
66	21	142
67	22	142
68	22	142
69	23	141
70	23	141
71	23	140
72	23	139
73	24	139
74	24	138
75	24	137
76	24	137
77	25	136
78	25	135
79	25	136
80	26	135
81	26	135
82	26	134
83	27	134
84	27	133
85	27	132
86	27	132
87	28	131
88	28	131
89	28	130
90	28	129
91	29	129
92	29	128
93	29	128
94	29	127
95	30	126
96	30	126
97	30	125
98	30	124
99	31	124
100	31	123
101	31	123
102	31	122
103	32	123
104	32	122
105	32	122
106	33	121
107	33	121
108	33	120
109	33	120
110	34	119
111	34	119
112	34	118
113	34	118
114	35	117
115	35	117
116	35	116
117	36	117
118	36	116
119	36	116
120	37	116
121	37	115
122	37	115
123	38	115
124	38	115
125	38	115
126	39	115
127	39	115
128	40	115
129	41	116
130	41	116
131	42	117
132	42	117
133	42	116
134	43	116
135	43	115
136	43	115
137	43	114
138	44	114
139	44	113
140	44	113
141	44	112
142	45	112
143	45	111
144	45	111
145	45	111
146	46	110
147	46	110
148	46	109
149	46	109
150	47	108
151	47	108
152	47	107
153	47	107
154	48	107
155	48	106
156	48	106
157	48	105
158	49	105
159	49	105
160	49	104
161	49	104
162	50	103
163	50	103
164	50	103
165	51	102
166	51	102
167	51	102
168	51	101
169	52	101
170	52	101
171	52	100
172	53	100
173	53	100
174	53	99
175	54	99
176	54	99
177	55	99
178	55	99
179	55	98
180	56	98
181	56	98
182	56	98
183	56	97
184	57	97
185	57	96
186	57	96
187	58	96
188	58	96
189	58	96
190	59	95
191	59	95
192	59	95
193	60	94
194	60	94
195	60	93
196	60	93
197	61	93
198	61	93
199	62	93
200	62	92
201	62	92
202	62	91
203	63	91
204	63	91
205	63	90
206	64	90
207	64	90
208	64	89
209	64	89
210	65	89
211	65	88
212	65	88
213	65	88
214	66	87
215	66	87
216	66	87
217	67	86
218	67	86
219	67	86
220	67	85
221	68	85
222	68	85
223	68	84
224	69	84
225	69	84
226	69	83
227	70	83
228	70	83
229	70	82
230	70	82
231	71	82
232	71	81
233	71	81
234	71	81
235	72	80
236	72	80
237	72	80
238	72	79
239	73	79
240	73	79
241	73	78
242	74	78
243	74	77
244	74	77
245	74	77
246	75	76
247	75	76
248	75	76
249	76	76
250	76	75
251	76	75
252	76	75
253	77	74
254	77	74
255	77	74
256	78	73
257	78	73
258	78	73
259	78	72
260	79	72
261	79	72
262	79	71
263	79	71
264	80	71
265	80	70
266	80	70
267	80	69
268	81	69
269	81	69
270	81	68
271	81	68
272	82	68
273	82	67
274	82	67
275	82	67
276	83	66
277	83	66
278	83	66
279	83	65
280	84	65
281	84	65
282	84	64
283	84	64
284	85	64
285	85	63
286	85	63
287	85	63
288	86	62
289	86	62
290	86	62
291	87	62
292	87	61
293	88	61
294	88	61
295	88	61
296	89	60
297	89	60
298	89	60
299	89	59
300	90	59
301	90	59
302	90	58
303	90	58
304	91	58
305	91	57
306	91	57
307	92	57
308	92	57
309	92	56
310	92	56
311	93	56
312	93	55
313	93	55
314	93	55
315	94	54
316	94	54
317	94	54
318	94	53
319	95	53
320	95	53
321	95	52
322	95	52
323	96	52
324	96	51
325	96	51
326	96	51
327	97	50
328	97	50
329	97	50
330	97	49
331	98	49
332	98	49
333	98	49
334	99	48
335	99	48
336	99	48
337	99	47
338	100	47
339	100	47
340	100	46
341	100	46
342	101	46
343	101	46
344	101	45
345	102	45
346	102	45
347	102	44
348	102	44
349	103	44
350	103	43
351	103	43
352	104	43
353	104	43
354	105	42
355	105	42
356	105	42
357	106	42
358	106	41
359	106	41
360	107	41
361	107	41
362	107	40
363	108	40
364	108	40
365	109	39
366	109	39
367	109	39
368	110	39
369	110	38
370	110	38
371	110	38
372	111	37
373	111	37
374	111	37
375	112	36
376	112	36
377	112	36
378	112	36
379	113	35
380	113	35
381	113	35
382	113	34
383	114	34
384	114	34
385	114	33
386	115	33
387	115	33
388	115	32
389	115	32
390	116	32
391	116	32
392	116	31
393	116	31
394	117	31
395	117	30
396	117	30
397	118	30
398	118	29
399	118	29
400	118	29
401	119	29
402	119	28
403	119	28
404	119	28
405	120	27
406	120	27
407	120	27
408	120	26
409	121	26
410	121	26
411	121	25
412	121	25
413	122	25
414	122	25
415	122	24
416	122	24
417	123	24
418	123	23
419	123	23
420	123	23
421	124	22
422	124	22
423	124	22
424	124	22
425	125	21
426	125	21
427	125	21
428	125	20
429	126	20
430	126	20
431	126	19
432	127	19
433	127	19
434	127	19
435	127	18
436	128	18
437	128	18
438	128	17
439	128	17
440	129	17
441	129	16
442	129	16
443	129	16
444	130	16
445	130	15
446	130	15
447	130	15
448	131	14
449	131	14
450	131	14
451	132	14
452	132	13
453	132	13
454	132	13
455	133	12
456	133	12
457	133	12
458	133	11
459	134	11
460	134	11
461	134	11
462	135	10
463	135	10
464	135	10
465	135	9
466	136	9
467	136	9
468	136	9
469	136	8
470	137	8
471	137	8
472	137	7
473	137	7
474	138	7
475	138	6
476	138	6
477	138	6
478	139	6
479	139	5
480	139	5
481	139	5
482	140	4
483	140	4
484	140	4
485	140	4
486	141	3
487	141	3
488	141	3
489	141	2
490	142	2
491	142	2
492	142	2
493	142	1
494	143	1
495	143	1
496	143	0
497	143	0
498	144	0
499	144	0
